,Ticker,Date,Price,Shares Outstanding,Market Cap,EV,EBITDA,EV/EBITDA,D/E,BV/Share,Total Cash,Total Liabilities,Total Revenue,Operating Cash Flow,BS Recent Date,CF Recent Date,IS Recent Date
1424,TPL-H.V,"04/20/2020, 07:55:39",0.35,86960000.0,30430000.0,60000000.0,10060000.0,0.0,0.0,0.0,3460.0,52475.0,10339.0,979.0,2018-12-31,2018-12-31,2018-12-31
1425,TR.V,"04/20/2020, 07:56:01",0.03,26610000.0,0.0,0.0,0,0,0,0.0,70.0,69.0,0.0,-359.0,2019-12-31,2019-12-31,2019-12-31
1426,TRA.V,"04/20/2020, 07:56:21",0.05,206440000.0,10320000.0,10140000.0,0.0,0.0,0.0,0.0,204.0,285.0,0.0,-517.0,2019-05-31,2019-05-31,2019-05-31
1427,TRAD.V,"04/20/2020, 07:56:43",0.025,107750000.0,2690000.0,1250000.0,-2730000.0,0.0,0,0.0,181.0,964.0,0.0,-58.0,2019-03-31,2019-03-31,2019-03-31
1428,TRC.V,"04/20/2020, 07:57:03",0.08,10920000.0,0.0,1100000.0,0,0,0,0.0,2.0,253.0,0.0,-91.0,2019-12-31,2019-12-31,2019-12-31
1429,TRCE.V,"04/20/2020, 07:57:24",0.13,167340000.0,21750000.0,20290000.0,0,0,0.0,0.0,832.0,23.0,0.0,-85.0,2018-12-31,2018-12-31,2018-12-31
1430,TRO.V,"04/20/2020, 07:57:44",0.08,71070000.0,5690000.0,5470000.0,0,0,0.0,0.0,254.0,948.0,0.0,-69.0,2018-12-31,2018-12-31,2018-12-31
1431,TRS.V,"04/20/2020, 07:58:06",0.075,14000000.0,1050000.0,0.0,0,0,0.0,0.0,74.0,751.0,0.0,-119.0,2019-02-28,2019-02-28,2019-02-28
1432,TRU-H.V,"04/20/2020, 07:58:25",0.065,11270000.0,0.0,0.0,0,0,0,0.0,1523.0,125.0,13.0,0.0,2018-12-31,2018-12-31,2018-12-31
1433,TSD.V,"04/20/2020, 07:58:46",0.07,45350000.0,3170000.0,3940000.0,0.0,0.0,0.0,0.0,7.0,946.0,0.0,-28.0,2018-12-31,2018-12-31,2018-12-31
